DateComtd,DayComtd,TimeComtd,Barangay,X,Y,CrimeType,CrimeCategory,Classification,CaseStat,Solved,Cleared,"Place of Occurrence"
2020-09-01,Thursday,18:20:00,Mangnao-Canal,123.29821,9.292462,"NON-INDEX CRIME",OTHERNONINDEX,"Malicious Mischief","Victim refused to file a case",Yes,Yes,"Along the Roads/Streets/Alleys"
2020-09-01,Thursday,19:12:00,"Poblacion No. 3 (Barangay 3)",123.307175,9.304659,"NON-INDEX CRIME",PHYSICALINJURIES,"Less Serious Phy Inj TRI","Victim refused to file a case",Yes,Yes,"Along the Roads/Streets/Alleys"
2020-10-01,Friday,5:50:00,"Poblacion No. 3 (Barangay 3)",123.307625,9.308154,"NON-INDEX CRIME",PHYSICALINJURIES,"Less Serious Phy Inj TRI","Victim refused to file a case",Yes,Yes,"Along the Roads/Streets/Alleys"
2020-10-01,Friday,13:45:00,Daro,123.301811,9.31675,"NON-INDEX CRIME",PHYSICALINJURIES,"Less Serious Phy Inj TRI","Victim refused to file a case",Yes,Yes,"Along the Roads/Streets/Alleys"
2020-10-01,Friday,19:30:00,Bagacay,123.292992,9.299704,"NON-INDEX CRIME",PHYSICALINJURIES,"Less Serious Phy Inj TRI","Victim refused to file a case",Yes,Yes,"Along the Roads/Streets/Alleys"
2020-11-01,Saturday,9:45:00,Balugo,123.290329,9.309678,"NON-INDEX CRIME",SPECIALLAWS,"RA 9165 (ILL DRUGS)","Filed in Pros / Court",Yes,Yes,"(Inside Residences) - Public Residential Area"
2020-11-01,Saturday,10:35:00,Daro,123.304024,9.316538,"NON-INDEX CRIME",OTHERNONINDEX,"Malicious Mischief","Victim refused to file a case",Yes,Yes,"Along the Roads/Streets/Alleys"
2020-12-01,Sunday,3:40:00,Bantayan,123.302437,9.326999,"NON-INDEX CRIME",PHYSICALINJURIES,"Less Serious Phy Inj TRI","Victim refused to file a case",Yes,Yes,"Along the Roads/Streets/Alleys"
2020-12-01,Sunday,13:40:00,Cantil-e,123.264771,9.285633,"NON-INDEX CRIME",SPECIALLAWS,"PD 1602 / RA 9287  (GAMBLING)","Filed in Pros / Court",Yes,Yes,"(Inside Residences) - Public Residential Area"
13/01/2020,Monday,10:30:00,Looc,123.310684,9.31485,"NON-INDEX CRIME",SPECIALLAWS,"RA 9165 (ILL DRUGS)","Filed in Pros / Court",Yes,Yes,"(Inside Residences) - Public Residential Area"
