DateComtd,DayComtd,TimeComtd,EntryNo,PPO,Unit/Station,Area of Incident,Barangay,Bldg/House No/Street/Sitio,X,Y,CrimeType,IndexCrimeType,CrimeCategory,Classification,Mode of Commission,StreetCrime,InvolMinor?,SpecialCase,WeaponUsed,FACaliber,FAStatus,FALicenseNr,C-R-S Firearms,FADisposition,Transport,MotorcycleRidingCriminals,Driver(Suspect),VehOwner,VehType,VehPlateNum,Drugs,DrugConfsctdItem,Gmblng,GmblngConfsctdItem,GmblngAmntCnfsctd,CrnppngRecUnrec,RobType,BankRobAmt,EstblshmntType,EstblshmntName,CaseStat,Solved,Cleared,Uncleared/Unsolved,Arrest,NrArrstdSspct,Place of Occurrence*,Column1,Column2
2021-10-15,Friday,9:30:00,202110-1498,NEGROS_ORIENTAL,DUMAGUETE_CITY,,Looc,Zone 2,123.309074,9.314657,NON-INDEX CRIME,,SPECIALLAWS,PD 1602 / RA 9287  (GAMBLING),ILL GAMBLING (Bettor),,No,,,,,,,,,,,,,,,,Piyat-piyat,"

Confiscated pieces of evidence were:
a.) 1 Set playing cards consisting 52 pieces, red/white color combination with cover; and
b.) Bet money amounting to Two Hundred Ten (Php210.00).
		
",Php 210.00,,,,,,Filed in Pros / Court,No,Yes,No,Yes,4,(Inside Residences) - Public Residential Area,,
2021-10-15,Friday,10:10:00,202110-1499,NEGROS_ORIENTAL,DUMAGUETE_CITY,,Looc,Zone 2,123.310516,9.314241,NON-INDEX CRIME,,SPECIALLAWS,PD 1602 / RA 9287  (GAMBLING),ILL GAMBLING (Bettor),,No,,,,,,,,,,,,,,,,Tong-its,"
Confiscated pieces of evidence were:
a.) 1 Set playing cards consisting 52 pieces, blue/white color combination with cover; and
b.) Bet money amounting to Two Hundred Thirty (Php230.00).
		
	",Php 230.00,,,,,,Filed in Pros / Court,No,Yes,No,Yes,3,(Inside Residences) - Public Residential Area,,
2021-10-18,Monday,8:10:00,Traf(137)104,NEGROS_ORIENTAL,DUMAGUETE_CITY,,Bantayan,Rovira Road,123.303566,9.327189,NON-INDEX CRIME,,OTHERNONINDEX,Malicious Mischief,Malicious Mischief (Vehicular Accident),,No,,,,,,,,,,,,,,,,,,,,,,,,Victim refused to file a case,Yes,Yes,No,No,0,Along the Roads/Streets/Alleys,,
2021-10-19,Tuesday,0:15:00,202110-1512,NEGROS_ORIENTAL,DUMAGUETE_CITY,,Candau-ay,"Beside Gymnasium, Purok Scandinavian",123.263062,9.312854,NON-INDEX CRIME,,MURDER,Frustrated Murder,Shooting - M,,No,,Small Arms - Handgun (Pistol or Revolver),,,,,,,,,,,,,,,,,,,,,,Victim refused to file a case,Yes,Yes,No,No,0,Along the Roads/Streets/Alleys,,
2021-10-19,Tuesday,8:30:00,Traf(137)105,NEGROS_ORIENTAL,DUMAGUETE_CITY,,Poblacion No. 3 (Barangay 3),Intersection Cervantes St. and Independencia St.,123.304916,9.305726,NON-INDEX CRIME,,OTHERNONINDEX,Malicious Mischief,Malicious Mischief (Vehicular Accident),,No,,,,,,,,,,,,,,,,,,,,,,,,Victim refused to file a case,Yes,Yes,No,No,0,Along the Roads/Streets/Alleys,,
2021-10-19,Tuesday,11:45:00,Traf(137)106,NEGROS_ORIENTAL,DUMAGUETE_CITY,,Daro,Fronting Technomart,123.300491,9.319524,NON-INDEX CRIME,,OTHERNONINDEX,Malicious Mischief,Malicious Mischief (Vehicular Accident),,No,,,,,,,,,,,,,,,,,,,,,,,,Victim refused to file a case,Yes,Yes,No,No,0,Along the Roads/Streets/Alleys,,
2021-10-20,Wednesday,18:00:00,202110-1516,NEGROS_ORIENTAL,DUMAGUETE_CITY,,Poblacion No. 3 (Barangay 3),In front of Cathedral,123.307716,9.305318,NON-INDEX CRIME,,ROBBERY,Attempted Robbery,Hold-up w/ sharp object,,No,,,,,,,,,,,,,,,,,,,,,,,,Victim refused to file a case,Yes,Yes,No,Yes,1,Along the Roads/Streets/Alleys,,
2021-10-20,Wednesday,8:00:00,Traf(137)107,NEGROS_ORIENTAL,DUMAGUETE_CITY,,Banilad,"Crossing Sta. Monica, Banilad Highway",123.293274,9.279018,NON-INDEX CRIME,,OTHERNONINDEX,Malicious Mischief,Malicious Mischief (Vehicular Accident),,No,,,,,,,,,,,,,,,,,,,,,,,,Victim refused to file a case,Yes,Yes,No,No,0,Along the Roads/Streets/Alleys,,
2021-10-20,Wednesday,11:30:00,Traf(137)108,NEGROS_ORIENTAL,DUMAGUETE_CITY,,Calindagan,Infront of Mercury Drug Store,123.305199,9.299742,NON-INDEX CRIME,,OTHERNONINDEX,Malicious Mischief,Malicious Mischief (Vehicular Accident),,No,,,,,,,,,,,,,,,,,,,,,,,,Victim refused to file a case,Yes,Yes,No,No,0,Along the Roads/Streets/Alleys,,
2021-10-21,Thursday,2:05:00,202110-1520,NEGROS_ORIENTAL,DUMAGUETE_CITY,,Calindagan,Purok Camia,123.309654,9.299916,NON-INDEX CRIME,,SPECIALLAWS,RA 9165 (ILL DRUGS),Viol. of RA 9165 (Sec. 5),,No,,,,,,,,,,,,,,Shabu,"
Confiscated pcs of evidence: 
a.) One (1) pc elongated heat-sealed transparent plastic sachet containing white crystalline substance believed to be Shabu (subject of sale);
b.)  One (1) pc medium heat-sealed transparent plastic sachet containing white crystalline substance believed to be shabu; with total estimated weight of  4 grams with  DDB value of Php 27,000.00; and
c.) One (1) pc genuine Five hundred Peso bill (Php 500.00) as buy bust money. 
d.) One unit keypad cell phone color black and blue. 

",,,,,,,,,Filed in Pros / Court,Yes,Yes,No,Yes,1,(Inside Residences) - Public Residential Area,,
2021-10-21,Thursday,2:05:00,202110-1520,NEGROS_ORIENTAL,DUMAGUETE_CITY,,Calindagan,Purok Camia,123.309654,9.299916,NON-INDEX CRIME,,SPECIALLAWS,RA 9165 (ILL DRUGS),Viol. of RA 9165 (Sec. 11),,No,,,,,,,,,,,,,,Shabu,"
Confiscated pcs of evidence: 
a.) One (1) pc elongated heat-sealed transparent plastic sachet containing white crystalline substance believed to be Shabu (subject of sale);
b.)  One (1) pc medium heat-sealed transparent plastic sachet containing white crystalline substance believed to be shabu; with total estimated weight of  4 grams with  DDB value of Php 27,000.00; and
c.) One (1) pc genuine Five hundred Peso bill (Php 500.00) as buy bust money. 
d.) One unit keypad cell phone color black and blue. 

",,,,,,,,,Filed in Pros / Court,Yes,Yes,No,Yes,1,(Inside Residences) - Public Residential Area,,
2021-10-22,Friday,10:30:00,Traf(137)109,NEGROS_ORIENTAL,DUMAGUETE_CITY,,Cadawinonan,Fronting The Graden's Cemetery,123.266853,9.303329,NON-INDEX CRIME,,OTHERNONINDEX,Malicious Mischief,Malicious Mischief (Vehicular Accident),,No,,,,,,,,,,,,,,,,,,,,,,,,Victim refused to file a case,Yes,Yes,No,No,0,Along the Roads/Streets/Alleys,,
2021-10-22,Friday,13:40:00,Traf(137)111,NEGROS_ORIENTAL,DUMAGUETE_CITY,,Bajumpandan,,123.28244,9.280406,NON-INDEX CRIME,,PHYSICALINJURIES,Less Serious Phy Inj TRI,Vehicular Accident - PI,,Yes (not rel. to RA 7610),,,,,,,,,,,,,,,,,,,,,,,,Victim refused to file a case,Yes,Yes,No,No,0,Along the Roads/Streets/Alleys,,
2021-10-23,Saturday,3:13:00,202110-1525,NEGROS_ORIENTAL,DUMAGUETE_CITY,,Looc,Zone 2,123.311119,9.314516,NON-INDEX CRIME,,SPECIALLAWS,PD 1602 / RA 9287  (GAMBLING),ILL GAMBLING (Bettor),,No,,,,,,,,,,,,,,,,Tong-its,"

	Confiscated pieces of evidence were:
		a.) 1 Set playing cards consisting 52 pieces, red/yellow color combination 	without cover; and
		b.) Bet money amounting to Two Hundred Pesos(Php 200.00).
		
",Php 200.00,,,,,,Filed in Pros / Court,No,Yes,No,Yes,3,(Inside Residences) - Public Residential Area,,
2021-10-23,Saturday,4:00:00,202110-1526,NEGROS_ORIENTAL,DUMAGUETE_CITY,,Looc,Zone 2,123.31147,9.314818,NON-INDEX CRIME,,SPECIALLAWS,PD 1602 / RA 9287  (GAMBLING),ILL GAMBLING (Bettor),,No,,,,,,,,,,,,,,,,Chikicha,"

	Confiscated pieces of evidence were:
		a.) 1 Set playing cards consisting 52 pieces, red/blue color combination 	without cover; and
		b.) Bet money amounting to Three Hundred Pesos (Php 300.00).
		
",Php 300.00,,,,,,Filed in Pros / Court,No,Yes,No,Yes,4,(Inside Residences) - Public Residential Area,,
2021-10-23,Saturday,5:00:00,202110-1527,NEGROS_ORIENTAL,DUMAGUETE_CITY,,Looc,Zone 4,123.312042,9.315326,NON-INDEX CRIME,,SPECIALLAWS,RA 9165 (ILL DRUGS),Viol. of RA 9165 (Sec. 5),,No,,,,,,,,,,,,,,Shabu," a.) One (1) pc elongated heat-sealed transparent plastic sachet containing white crystalline substance believed to be Shabu (subject of sale); b.)  Three(3) pcs elongate heat-sealed transparent plastic sachet containing white crystalline substance believed to be shabu; with total estimated weight of  2 grams with  DDB value of Php 13,600.00; and c. ) One (1) pc genuine Five hundred Peso bill (Php 500.00 ) as buy bust money.  d) One (1) small black pouch containing item letter b. Suspect was immediately taken to Police Station for booking and proper dispo while documentary requirements are being prepared for filing in court.",,,,,,,,,Filed in Pros / Court,Yes,Yes,No,Yes,1,(Inside Residences) - Public Residential Area,,
2021-10-23,Saturday,5:00:00,202110-1527,NEGROS_ORIENTAL,DUMAGUETE_CITY,,Looc,,123.312042,9.315326,NON-INDEX CRIME,,SPECIALLAWS,RA 9165 (ILL DRUGS),Viol. of RA 9165 (Sec. 11),,No,,,,,,,,,,,,,,Shabu," a.) One (1) pc elongated heat-sealed transparent plastic sachet containing white crystalline substance believed to be Shabu (subject of sale); b.)  Three(3) pcs elongate heat-sealed transparent plastic sachet containing white crystalline substance believed to be shabu; with total estimated weight of  2 grams with  DDB value of Php 13,600.00; and c. ) One (1) pc genuine Five hundred Peso bill (Php 500.00 ) as buy bust money.  d) One (1) small black pouch containing item letter b. Suspect was immediately taken to Police Station for booking and proper dispo while documentary requirements are being prepared for filing in court.",,,,,,,,,Filed in Pros / Court,Yes,Yes,No,Yes,1,(Inside Residences) - Public Residential Area,,
2021-10-23,Saturday,15:10:00,Traf(137)112,NEGROS_ORIENTAL,DUMAGUETE_CITY,,Pulantubig,Infront of Magsaysay E/S,123.288284,9.324456,NON-INDEX CRIME,,OTHERNONINDEX,Malicious Mischief,Malicious Mischief (Vehicular Accident),,No,,,,,,,,,,,,,,,,,,,,,,,,Victim refused to file a case,Yes,Yes,No,No,0,Along the Roads/Streets/Alleys,,
2021-10-23,Saturday,15:27:00,Traf(137)113,NEGROS_ORIENTAL,DUMAGUETE_CITY,,Batinguel,Piñero Drive,123.271034,9.314109,NON-INDEX CRIME,,OTHERNONINDEX,Malicious Mischief,Malicious Mischief (Vehicular Accident),,No,,,,,,,,,,,,,,,,,,,,,,,,Victim refused to file a case,Yes,Yes,No,No,0,Along the Roads/Streets/Alleys,,
2021-10-24,Sunday,14:15:00,Traf(137)114,NEGROS_ORIENTAL,DUMAGUETE_CITY,,Camanjac,Diversion Road,123.271698,9.325101,NON-INDEX CRIME,,PHYSICALINJURIES,Less Serious Phy Inj TRI,Vehicular Accident - PI,,No,,,,,,,,,,,,,,,,,,,,,,,,Victim refused to file a case,Yes,Yes,No,No,0,Along the Roads/Streets/Alleys,,
2021-10-24,Sunday,14:15:00,Traf(137)114,NEGROS_ORIENTAL,DUMAGUETE_CITY,,Camanjac,Diversion Road,123.271698,9.325101,NON-INDEX CRIME,,OTHERNONINDEX,Malicious Mischief,Malicious Mischief (Vehicular Accident),,No,,,,,,,,,,,,,,,,,,,,,,,,Victim refused to file a case,Yes,Yes,No,No,0,Along the Roads/Streets/Alleys,,
2021-10-25,Monday,16:00:00,Traf(137)115,NEGROS_ORIENTAL,DUMAGUETE_CITY,,Banilad,T-Junction Purok Año National Highway,123.29319,9.279211,NON-INDEX CRIME,,OTHERNONINDEX,Malicious Mischief,Malicious Mischief (Vehicular Accident),,No,,,,,,,,,,,,,,,,,,,,,,,,Victim refused to file a case,Yes,Yes,No,No,0,Along the Roads/Streets/Alleys,,
2021-10-26,Tuesday,8:30:00,202110-1545,NEGROS_ORIENTAL,DUMAGUETE_CITY,,Looc,Zone 2,123.310898,9.314574,NON-INDEX CRIME,,SPECIALLAWS,PD 1602 / RA 9287  (GAMBLING),ILL GAMBLING (Bettor),,No,,,,,,,,,,,,,,,,Tong-its,"
		a.) 1 Set playing cards consisting 52 pieces, red/yellow color combination 	without cover; and
		b.) Bet money amounting to Three Hundred (Php 300.00) pesos.
		
",Php 300.00,,,,,,Filed in Pros / Court,No,Yes,No,Yes,3,(Inside Residences) - Public Residential Area,,
